"comparison","Category","Subcategory","Enrichment","Q_value","Observed","miRNAs_with_rank"
"EDAD_gt70_vs_40_60","KEGG (miRPathDB)","Neurotrophin signaling pathway","enriched",0.0307333,39,"hsa-miR-27a-3p (#215, logFC=0.875); hsa-miR-9-3p (#384, logFC=0.580); hsa-miR-148a-3p (#346, logFC=0.628); hsa-miR-30a-5p (#397, logFC=0.563); hsa-miR-204-5p (#307, logFC=0.687); hsa-miR-376c-3p (#386, logFC=0.572); hsa-miR-451a (#360, logFC=0.601); hsa-miR-34a-5p (#691, logFC=0.310); hsa-miR-15a-5p (#727, logFC=0.292); hsa-miR-497-5p (#757, logFC=0.276); hsa-miR-126-3p (#797, logFC=0.257); hsa-miR-29c-3p (#814, logFC=0.250); hsa-miR-195-5p (#996, logFC=0.151); hsa-miR-365a-3p (#1017, logFC=0.141); hsa-miR-143-3p (#999, logFC=0.150); hsa-miR-30e-3p (#1122, logFC=0.098); hsa-miR-124-3p (#909, logFC=0.194); hsa-miR-29a-3p (#1162, logFC=0.075); hsa-miR-125b-5p (#1173, logFC=0.070); hsa-miR-21-5p (#1087, logFC=0.114); hsa-miR-424-5p (#1305, logFC=0.008); hsa-miR-7-5p (#1303, logFC=0.009); hsa-miR-101-3p (#1310, logFC=-0.005); hsa-miR-29b-3p (#1292, logFC=-0.014); hsa-miR-139-5p (#1168, logFC=-0.073); hsa-miR-30c-5p (#1216, logFC=-0.049); hsa-miR-185-5p (#1145, logFC=-0.084); hsa-miR-132-3p (#1100, logFC=-0.108); hsa-miR-16-5p (#1074, logFC=-0.120); hsa-miR-744-5p (#983, logFC=-0.156); hsa-miR-125a-5p (#932, logFC=-0.184); hsa-miR-146b-5p (#735, logFC=-0.287); hsa-miR-146a-5p (#585, logFC=-0.374); hsa-miR-155-5p (#339, logFC=-0.638); hsa-miR-125b-1-3p (#478, logFC=-0.470); hsa-miR-181a-5p (#361, logFC=-0.601); hsa-miR-340-5p (#316, logFC=-0.676); hsa-let-7a-5p (#218, logFC=-0.869); hsa-miR-15b-5p (#208, logFC=-0.886)"
"EDAD_gt70_vs_40_60","KEGG (miRPathDB)","Amyotrophic lateral sclerosis ALS","enriched",0.0340497,6,"hsa-miR-30a-5p (#397, logFC=0.563); hsa-miR-451a (#360, logFC=0.601); hsa-miR-34a-5p (#691, logFC=0.310); hsa-miR-126-3p (#797, logFC=0.257); hsa-miR-365a-3p (#1017, logFC=0.141); hsa-miR-125b-5p (#1173, logFC=0.070)"
"EDAD_gt70_vs_40_60","KEGG (miRPathDB)","Renal cell carcinoma","enriched",0.0372183,38,"hsa-miR-27a-3p (#215, logFC=0.875); hsa-miR-9-3p (#384, logFC=0.580); hsa-miR-451a (#360, logFC=0.601); hsa-miR-134-5p (#601, logFC=0.365); hsa-miR-15a-5p (#727, logFC=0.292); hsa-miR-497-5p (#757, logFC=0.276); hsa-miR-126-3p (#797, logFC=0.257); hsa-miR-22-3p (#750, logFC=0.280); hsa-miR-194-5p (#829, logFC=0.242); hsa-miR-29c-3p (#814, logFC=0.250); hsa-miR-195-5p (#996, logFC=0.151); hsa-miR-365a-3p (#1017, logFC=0.141); hsa-miR-143-3p (#999, logFC=0.150); hsa-miR-409-3p (#1058, logFC=0.127); hsa-miR-29a-3p (#1162, logFC=0.075); hsa-miR-125b-5p (#1173, logFC=0.070); hsa-miR-21-5p (#1087, logFC=0.114); hsa-miR-152-3p (#1275, logFC=0.020); hsa-miR-424-5p (#1305, logFC=0.008); hsa-miR-7-5p (#1303, logFC=0.009); hsa-miR-101-3p (#1310, logFC=-0.005); hsa-miR-29b-3p (#1292, logFC=-0.014); hsa-miR-139-5p (#1168, logFC=-0.073); hsa-miR-30a-3p (#1194, logFC=-0.061); hsa-miR-30c-5p (#1216, logFC=-0.049); hsa-miR-185-5p (#1145, logFC=-0.084); hsa-miR-132-3p (#1100, logFC=-0.108); hsa-miR-16-5p (#1074, logFC=-0.120); hsa-miR-145-5p (#1052, logFC=-0.129); hsa-miR-125a-5p (#932, logFC=-0.184); hsa-miR-378a-3p (#901, logFC=-0.200); hsa-miR-107 (#760, logFC=-0.275); hsa-miR-574-3p (#650, logFC=-0.330); hsa-miR-155-5p (#339, logFC=-0.638); hsa-miR-181a-5p (#361, logFC=-0.601); hsa-miR-23b-3p (#326, logFC=-0.663); hsa-miR-15b-5p (#208, logFC=-0.886); hsa-miR-93-5p (#214, logFC=-0.875)"
"EDAD_gt70_vs_40_60","KEGG (miRPathDB)","Ras signaling pathway","enriched",0.0373589,28,"hsa-miR-27a-3p (#215, logFC=0.875); hsa-miR-451a (#360, logFC=0.601); hsa-miR-34a-5p (#691, logFC=0.310); hsa-miR-221-3p (#687, logFC=0.310); hsa-miR-497-5p (#757, logFC=0.276); hsa-miR-126-3p (#797, logFC=0.257); hsa-miR-29c-3p (#814, logFC=0.250); hsa-miR-195-5p (#996, logFC=0.151); hsa-miR-365a-3p (#1017, logFC=0.141); hsa-miR-143-3p (#999, logFC=0.150); hsa-miR-124-3p (#909, logFC=0.194); hsa-miR-29a-3p (#1162, logFC=0.075); hsa-miR-125b-5p (#1173, logFC=0.070); hsa-miR-152-3p (#1275, logFC=0.020); hsa-miR-424-5p (#1305, logFC=0.008); hsa-miR-7-5p (#1303, logFC=0.009); hsa-miR-101-3p (#1310, logFC=-0.005); hsa-miR-29b-3p (#1292, logFC=-0.014); hsa-miR-139-5p (#1168, logFC=-0.073); hsa-miR-185-5p (#1145, logFC=-0.084); hsa-miR-132-3p (#1100, logFC=-0.108); hsa-miR-145-5p (#1052, logFC=-0.129); hsa-miR-27b-3p (#960, logFC=-0.167); hsa-miR-125a-5p (#932, logFC=-0.184); hsa-miR-146b-5p (#735, logFC=-0.287); hsa-miR-378a-3p (#901, logFC=-0.200); hsa-miR-887-3p (#221, logFC=-0.865); hsa-miR-23b-3p (#326, logFC=-0.663)"
"EDAD_gt70_vs_40_60","KEGG (miRPathDB)","T cell receptor signaling pathway","enriched",0.0374944,25,"hsa-miR-708-5p (#179, logFC=0.955); hsa-miR-27a-3p (#215, logFC=0.875); hsa-miR-9-3p (#384, logFC=0.580); hsa-miR-204-5p (#307, logFC=0.687); hsa-miR-451a (#360, logFC=0.601); hsa-miR-34a-5p (#691, logFC=0.310); hsa-miR-15a-5p (#727, logFC=0.292); hsa-miR-497-5p (#757, logFC=0.276); hsa-miR-126-3p (#797, logFC=0.257); hsa-miR-195-5p (#996, logFC=0.151); hsa-miR-143-3p (#999, logFC=0.150); hsa-miR-409-3p (#1058, logFC=0.127); hsa-miR-29a-3p (#1162, logFC=0.075); hsa-miR-125b-5p (#1173, logFC=0.070); hsa-miR-424-5p (#1305, logFC=0.008); hsa-miR-7-5p (#1303, logFC=0.009); hsa-miR-101-3p (#1310, logFC=-0.005); hsa-miR-29b-3p (#1292, logFC=-0.014); hsa-miR-139-5p (#1168, logFC=-0.073); hsa-miR-145-5p (#1052, logFC=-0.129); hsa-miR-125a-5p (#932, logFC=-0.184); hsa-miR-146b-5p (#735, logFC=-0.287); hsa-miR-146a-5p (#585, logFC=-0.374); hsa-miR-155-5p (#339, logFC=-0.638); hsa-miR-15b-5p (#208, logFC=-0.886)"
"EDAD_gt70_vs_40_60","KEGG (miRPathDB)","B cell receptor signaling pathway","enriched",0.0387851,23,"hsa-miR-708-5p (#179, logFC=0.955); hsa-miR-27a-3p (#215, logFC=0.875); hsa-miR-9-3p (#384, logFC=0.580); hsa-miR-451a (#360, logFC=0.601); hsa-miR-34a-5p (#691, logFC=0.310); hsa-miR-15a-5p (#727, logFC=0.292); hsa-miR-497-5p (#757, logFC=0.276); hsa-miR-126-3p (#797, logFC=0.257); hsa-miR-365a-3p (#1017, logFC=0.141); hsa-miR-143-3p (#999, logFC=0.150); hsa-miR-409-3p (#1058, logFC=0.127); hsa-miR-30e-3p (#1122, logFC=0.098); hsa-miR-29a-3p (#1162, logFC=0.075); hsa-miR-7-5p (#1303, logFC=0.009); hsa-miR-101-3p (#1310, logFC=-0.005); hsa-miR-29b-3p (#1292, logFC=-0.014); hsa-miR-139-5p (#1168, logFC=-0.073); hsa-miR-30a-3p (#1194, logFC=-0.061); hsa-miR-146b-5p (#735, logFC=-0.287); hsa-miR-146a-5p (#585, logFC=-0.374); hsa-miR-155-5p (#339, logFC=-0.638); hsa-miR-181a-5p (#361, logFC=-0.601); hsa-let-7a-5p (#218, logFC=-0.869)"
"EDAD_gt70_vs_40_60","KEGG (miRPathDB)","TNF signaling pathway","enriched",0.0387851,27,"hsa-miR-708-5p (#179, logFC=0.955); hsa-miR-9-3p (#384, logFC=0.580); hsa-miR-204-5p (#307, logFC=0.687); hsa-miR-451a (#360, logFC=0.601); hsa-miR-223-3p (#536, logFC=0.418); hsa-miR-34a-5p (#691, logFC=0.310); hsa-miR-15a-5p (#727, logFC=0.292); hsa-miR-221-3p (#687, logFC=0.310); hsa-miR-126-3p (#797, logFC=0.257); hsa-miR-29c-3p (#814, logFC=0.250); hsa-miR-143-3p (#999, logFC=0.150); hsa-miR-124-3p (#909, logFC=0.194); hsa-miR-29a-3p (#1162, logFC=0.075); hsa-miR-125b-5p (#1173, logFC=0.070); hsa-miR-21-5p (#1087, logFC=0.114); hsa-miR-7-5p (#1303, logFC=0.009); hsa-miR-101-3p (#1310, logFC=-0.005); hsa-miR-128-3p (#1295, logFC=-0.013); hsa-miR-29b-3p (#1292, logFC=-0.014); hsa-miR-139-5p (#1168, logFC=-0.073); hsa-miR-664a-3p (#940, logFC=-0.179); hsa-miR-125a-5p (#932, logFC=-0.184); hsa-miR-98-5p (#827, logFC=-0.242); hsa-miR-146a-5p (#585, logFC=-0.374); hsa-miR-138-5p (#380, logFC=-0.583); hsa-miR-155-5p (#339, logFC=-0.638); hsa-miR-887-3p (#221, logFC=-0.865)"
"EDAD_gt70_vs_40_60","KEGG (miRPathDB)","Amoebiasis","enriched",0.0390124,11,"hsa-miR-451a (#360, logFC=0.601); hsa-miR-126-3p (#797, logFC=0.257); hsa-miR-29c-3p (#814, logFC=0.250); hsa-miR-127-3p (#917, logFC=0.190); hsa-miR-143-3p (#999, logFC=0.150); hsa-miR-124-3p (#909, logFC=0.194); hsa-miR-29a-3p (#1162, logFC=0.075); hsa-miR-21-5p (#1087, logFC=0.114); hsa-miR-7-5p (#1303, logFC=0.009); hsa-miR-29b-3p (#1292, logFC=-0.014); hsa-miR-146a-5p (#585, logFC=-0.374)"
"EDAD_gt70_vs_40_60","KEGG (miRPathDB)","Proteoglycans in cancer","enriched",0.0405656,61,"hsa-miR-708-5p (#179, logFC=0.955); hsa-miR-27a-3p (#215, logFC=0.875); hsa-miR-196a-5p (#112, logFC=1.117); hsa-miR-135a-5p (#212, logFC=0.877); hsa-miR-9-3p (#384, logFC=0.580); hsa-miR-148a-3p (#346, logFC=0.628); hsa-miR-30a-5p (#397, logFC=0.563); hsa-miR-204-5p (#307, logFC=0.687); hsa-miR-376c-3p (#386, logFC=0.572); hsa-miR-451a (#360, logFC=0.601); hsa-miR-223-3p (#536, logFC=0.418); hsa-miR-34a-5p (#691, logFC=0.310); hsa-miR-221-3p (#687, logFC=0.310); hsa-miR-497-5p (#757, logFC=0.276); hsa-miR-126-3p (#797, logFC=0.257); hsa-miR-22-3p (#750, logFC=0.280); hsa-miR-218-5p (#552, logFC=0.406); hsa-miR-194-5p (#829, logFC=0.242); hsa-miR-29c-3p (#814, logFC=0.250); hsa-miR-195-5p (#996, logFC=0.151); hsa-miR-365a-3p (#1017, logFC=0.141); hsa-miR-143-3p (#999, logFC=0.150); hsa-miR-124-3p (#909, logFC=0.194); hsa-miR-29a-3p (#1162, logFC=0.075); hsa-miR-125b-5p (#1173, logFC=0.070); hsa-miR-21-5p (#1087, logFC=0.114); hsa-miR-106b-5p (#1231, logFC=0.042); hsa-miR-152-3p (#1275, logFC=0.020); hsa-miR-424-5p (#1305, logFC=0.008); hsa-miR-7-5p (#1303, logFC=0.009); hsa-miR-101-3p (#1310, logFC=-0.005); hsa-miR-29b-3p (#1292, logFC=-0.014); hsa-miR-139-5p (#1168, logFC=-0.073); hsa-miR-30a-3p (#1194, logFC=-0.061); hsa-miR-30c-5p (#1216, logFC=-0.049); hsa-miR-185-5p (#1145, logFC=-0.084); hsa-miR-132-3p (#1100, logFC=-0.108); hsa-miR-95-3p (#1018, logFC=-0.141); hsa-miR-331-3p (#1083, logFC=-0.115); hsa-miR-16-5p (#1074, logFC=-0.120); hsa-miR-145-5p (#1052, logFC=-0.129); hsa-miR-744-5p (#983, logFC=-0.156); hsa-miR-10b-5p (#880, logFC=-0.210); hsa-miR-125a-5p (#932, logFC=-0.184); hsa-miR-378a-3p (#901, logFC=-0.200); hsa-miR-26a-5p (#916, logFC=-0.190); hsa-miR-98-5p (#827, logFC=-0.242); hsa-let-7g-5p (#830, logFC=-0.240); hsa-miR-146a-5p (#585, logFC=-0.374); hsa-miR-574-3p (#650, logFC=-0.330); hsa-miR-138-5p (#380, logFC=-0.583); hsa-miR-219a-5p (#247, logFC=-0.802); hsa-miR-155-5p (#339, logFC=-0.638); hsa-miR-125b-1-3p (#478, logFC=-0.470); hsa-miR-340-5p (#316, logFC=-0.676); hsa-miR-23b-3p (#326, logFC=-0.663); hsa-miR-17-5p (#264, logFC=-0.771); hsa-let-7a-5p (#218, logFC=-0.869); hsa-miR-15b-5p (#208, logFC=-0.886); hsa-let-7c-5p (#147, logFC=-1.035); hsa-miR-193a-5p (#43, logFC=-1.411)"
"EDAD_gt70_vs_40_60","KEGG (miRPathDB)","HTLV-I infection","enriched",0.0481259,54,"hsa-miR-708-5p (#179, logFC=0.955); hsa-miR-27a-3p (#215, logFC=0.875); hsa-miR-9-5p (#258, logFC=0.781); hsa-miR-148a-3p (#346, logFC=0.628); hsa-miR-30a-5p (#397, logFC=0.563); hsa-miR-376c-3p (#386, logFC=0.572); hsa-miR-451a (#360, logFC=0.601); hsa-miR-223-3p (#536, logFC=0.418); hsa-miR-34a-5p (#691, logFC=0.310); hsa-miR-15a-5p (#727, logFC=0.292); hsa-miR-221-3p (#687, logFC=0.310); hsa-miR-497-5p (#757, logFC=0.276); hsa-miR-126-3p (#797, logFC=0.257); hsa-miR-22-3p (#750, logFC=0.280); hsa-miR-29c-3p (#814, logFC=0.250); hsa-miR-195-5p (#996, logFC=0.151); hsa-miR-365a-3p (#1017, logFC=0.141); hsa-miR-143-3p (#999, logFC=0.150); hsa-miR-124-3p (#909, logFC=0.194); hsa-miR-29a-3p (#1162, logFC=0.075); hsa-miR-125b-5p (#1173, logFC=0.070); hsa-miR-21-5p (#1087, logFC=0.114); hsa-miR-182-5p (#1193, logFC=0.062); hsa-miR-106b-5p (#1231, logFC=0.042); hsa-miR-152-3p (#1275, logFC=0.020); hsa-miR-7-5p (#1303, logFC=0.009); hsa-miR-101-3p (#1310, logFC=-0.005); hsa-miR-29b-3p (#1292, logFC=-0.014); hsa-miR-28-3p (#1239, logFC=-0.036); hsa-miR-139-5p (#1168, logFC=-0.073); hsa-miR-30a-3p (#1194, logFC=-0.061); hsa-miR-28-5p (#1172, logFC=-0.071); hsa-miR-185-5p (#1145, logFC=-0.084); hsa-miR-132-3p (#1100, logFC=-0.108); hsa-miR-95-3p (#1018, logFC=-0.141); hsa-miR-16-5p (#1074, logFC=-0.120); hsa-miR-145-5p (#1052, logFC=-0.129); hsa-miR-193b-3p (#1006, logFC=-0.145); hsa-miR-10b-5p (#880, logFC=-0.210); hsa-miR-324-3p (#1020, logFC=-0.140); hsa-miR-24-3p (#1037, logFC=-0.135); hsa-miR-27b-3p (#960, logFC=-0.167); hsa-miR-125a-5p (#932, logFC=-0.184); hsa-miR-26a-5p (#916, logFC=-0.190); hsa-let-7g-5p (#830, logFC=-0.240); hsa-miR-146a-5p (#585, logFC=-0.374); hsa-miR-574-3p (#650, logFC=-0.330); hsa-miR-138-5p (#380, logFC=-0.583); hsa-miR-155-5p (#339, logFC=-0.638); hsa-miR-181a-5p (#361, logFC=-0.601); hsa-miR-23b-3p (#326, logFC=-0.663); hsa-miR-17-5p (#264, logFC=-0.771); hsa-miR-15b-5p (#208, logFC=-0.886); hsa-miR-93-5p (#214, logFC=-0.875)"
